# SOPH Battery Test Log
# Suite:     nist
# Seed:      00
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 00 --bytes 0
# Date:      2026-03-22 10:34:16
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 90  96  99  95  88 117 115  93 109  98  0.406499    992/1000	 Frequency
100  93  96  97 103  99  94 115 105  98  0.927677    992/1000	 BlockFrequency
 96  92  96  93  98 107 104 117  98  99  0.827279    987/1000	 CumulativeSums
 93  84 109 105 112  85  97  81 130 104  0.014249    987/1000	 CumulativeSums
 99 109  86 106 110  91 101 110  90  97  0.631283    993/999 	 Runs
 97 100  83  85  92 109 125  98 113  98  0.099513    984/1000	 LongestRun
 91 104 109  97  82 101 117  78 100 121  0.044797    996/1000	 Rank
124 115  92  91  99  86  92  93 114  94  0.094285    987/1000	 DFT
 90 107  98 102  92  96  90  92 110 123  0.326749    996/1000	 NonOverlappingTemplate
 98 101 100 110 101 103 111  81 102  93  0.689019    990/1000	 NonOverlappingTemplate
106 100 103  95  95 107 111 103  92  88  0.849708    988/1000	 NonOverlappingTemplate
105  99  98 101 107  88 107  92 104  99  0.939005    992/1000	 NonOverlappingTemplate
 92  88 104 113  95 109  91  93 108 107  0.593478    993/1000	 NonOverlappingTemplate
 82 103  97 115  95  89  97 108 102 112  0.406499    987/1000	 NonOverlappingTemplate
114 108 107 100  92  96  90  96 101  96  0.814724    994/1000	 NonOverlappingTemplate
103 107  92  89  98 101 119 108  95  88  0.492436    994/1000	 NonOverlappingTemplate
 94  98 104  97  93 111  98 112  81 112  0.448424    991/1000	 NonOverlappingTemplate
 98  95  94 102  92  96 108 115 107  93  0.801865    992/1000	 NonOverlappingTemplate
 96  84 112  86 100 104 100 118  99 101  0.388990    993/1000	 NonOverlappingTemplate
 88  89  99 113 102 105 116  84 103 101  0.361938    996/1000	 NonOverlappingTemplate
 94  85 102 109 101 108 101  98  90 112  0.678686    995/1000	 NonOverlappingTemplate
 97  92  98 103  91 113  95  93 104 114  0.717714    995/1000	 NonOverlappingTemplate
 85 124  82 102 102  91 104  99 116  95  0.087692    991/1000	 NonOverlappingTemplate
 96  95 106 107  91 104 104  93 114  90  0.755819    990/1000	 NonOverlappingTemplate
 90 101 108  81 112 108 102 108 104  86  0.339271    989/1000	 NonOverlappingTemplate
108 100 100 106 118  88  91 100  86 103  0.480771    991/1000	 NonOverlappingTemplate
 92 107  87  99  84 103 112  97 106 113  0.431754    993/1000	 NonOverlappingTemplate
 92 105 105  95 120  84  93 105  95 106  0.410055    992/1000	 NonOverlappingTemplate
 96 104  92  99  86 104  94 116 114  95  0.512137    993/1000	 NonOverlappingTemplate
108 112 109  94  92 112  88  84  94 107  0.336111    994/1000	 NonOverlappingTemplate
 96 105 101 113 102  92  98 102  94  97  0.950247    986/1000	 NonOverlappingTemplate
102  82 105 100  99 117  89 112  90 104  0.331408    993/1000	 NonOverlappingTemplate
 92 107 102  93 109  97  94  99 110  97  0.910091    991/1000	 NonOverlappingTemplate
 98  93  87  99 104  81 106 118 106 108  0.304126    984/1000	 NonOverlappingTemplate
 87 105  98  97 107  83 104  97 112 110  0.520102    991/1000	 NonOverlappingTemplate
101 116 100  90 105  83 111  99  88 107  0.361938    990/1000	 NonOverlappingTemplate
 93  98 114 100 101 105 104 106  88  91  0.786830    989/1000	 NonOverlappingTemplate
100  89 103 105  99 111 101 108  94  90  0.853049    992/1000	 NonOverlappingTemplate
102 100  98 100 114 102  85  94 103 102  0.849708    985/1000	 NonOverlappingTemplate
102  99 101  98 111 112 100  86 104  87  0.682823    997/1000	 NonOverlappingTemplate
116  92  98  86 120  97  82 100 110  99  0.139655    990/1000	 NonOverlappingTemplate
106  93 103 103 109 105  86  95  94 106  0.832561    984/1000	 NonOverlappingTemplate
103 109  98  85 117  89 111  88  96 104  0.329850    988/1000	 NonOverlappingTemplate
107  99 102  94  95  84 108 104 101 106  0.844641    987/1000	 NonOverlappingTemplate
 86 103 110 108 113 101  92  79 108 100  0.270265    993/1000	 NonOverlappingTemplate
110  92 106 108  95  85 108  95  80 121  0.107512    991/1000	 NonOverlappingTemplate
 82 110 107 101 102 102  97 112  94  93  0.616305    990/1000	 NonOverlappingTemplate
116  95 106  90 104  94 107  99  92  97  0.747898    995/1000	 NonOverlappingTemplate
 99 101 114  89 114 105  94  87 100  97  0.581082    990/1000	 NonOverlappingTemplate
 81  82  95 114  97  91 117 113 111  99  0.072066    992/1000	 NonOverlappingTemplate
 97 101  95 109 102 109 101  89 103  94  0.931185    990/1000	 NonOverlappingTemplate
 97  97  99  89 100  94  96 110 109 109  0.872425    993/1000	 NonOverlappingTemplate
 89  84 121  94  96  96 121  87 113  99  0.054314    988/1000	 NonOverlappingTemplate
 96 113  96  96 104 110  93 108  96  88  0.733899    989/1000	 NonOverlappingTemplate
106  96 114  94 106  97  88  92 103 104  0.777265    987/1000	 NonOverlappingTemplate
 94 114  99  94 122  88  91  98  87 113  0.153763    988/1000	 NonOverlappingTemplate
102  92  99  99 109 104  84  96  98 117  0.603841    987/1000	 NonOverlappingTemplate
106 112 114  83  83 105  96 108 102  91  0.246750    985/1000	 NonOverlappingTemplate
