# SOPH Battery Test Log
# Suite:     nist
# Seed:      03
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 03 --bytes 0
# Date:      2026-03-22 10:38:49
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
108 107 117  88  95 103 106  99  97  80  0.329850    989/1000	 Frequency
114  94 112 100  99  89 111  97  86  98  0.506194    994/1000	 BlockFrequency
115 100 103 115  93 101  94  82  87 110  0.250558    990/1000	 CumulativeSums
110 126  98  77 100  99  91  88  88 123  0.008629    989/1000	 CumulativeSums
107 103 108 103  85 107 107  85  98  97  0.645448    985/1000	 Runs
 88 112  84  88 114 105 102  97  96 114  0.253122    989/1000	 LongestRun
100  86 112  98 109  77 107 110 108  93  0.204439    985/1000	 Rank
 99 106 105 108  94 101  97 106  97  87  0.920383    989/1000	 DFT
116 109 107 112  79 102  84 101 103  87  0.118812    985/1000	 NonOverlappingTemplate
110  99  91  99 101  99 100 104 103  94  0.981940    993/1000	 NonOverlappingTemplate
104 105  91  99  98  93 107 106  95 102  0.968128    993/1000	 NonOverlappingTemplate
105 100 101  95 105  94 114 101  82 103  0.697257    989/1000	 NonOverlappingTemplate
 90 104  97 117 112 104  98  87 103  88  0.437274    992/1000	 NonOverlappingTemplate
120 100  87 100  99  82  96 103 107 106  0.347257    990/1000	 NonOverlappingTemplate
112  94 102  90  95 113  90 105 103  96  0.711601    987/1000	 NonOverlappingTemplate
114  81 106 114 100  99 101  90 105  90  0.337688    988/1000	 NonOverlappingTemplate
 89  96 116 118  94 104  92  82 113  96  0.144504    990/1000	 NonOverlappingTemplate
108 104  95 109 104  88  93 105 100  94  0.870856    992/1000	 NonOverlappingTemplate
110 106 104 112  78  97  85 102  94 112  0.214439    989/1000	 NonOverlappingTemplate
 98 104  96  83 107  93 103  97 117 102  0.601766    989/1000	 NonOverlappingTemplate
117  92  95  89 101  98 107  91 112  98  0.552383    982/1000	 NonOverlappingTemplate
 91  91 120  96 110 100  97  84 105 106  0.347257    993/1000	 NonOverlappingTemplate
114 102  95  99  98 104  96 108 107  77  0.433590    981/1000	 NonOverlappingTemplate
102  90 109 102  97  92  93 100 114 101  0.827279    985/1000	 NonOverlappingTemplate
 65 105 103 105  95 111  96 111 112  97  0.045675    995/1000	 NonOverlappingTemplate
107  94  97 103 124 103  98  88  95  91  0.399442    993/1000	 NonOverlappingTemplate
 90 100  99  97 115 112  93 101 101  92  0.745908    994/1000	 NonOverlappingTemplate
118  89 103  91  91  90 105 100 101 112  0.450297    989/1000	 NonOverlappingTemplate
103 113  78 107  93 100  98 101 105 102  0.540204    987/1000	 NonOverlappingTemplate
115  93  96  93 109 102  94 105 102  91  0.769527    987/1000	 NonOverlappingTemplate
 89  96  98  96 115  96  95 120  99  96  0.494392    987/1000	 NonOverlappingTemplate
112  98 120 110  97  99  89  98 104  73  0.083526    991/1000	 NonOverlappingTemplate
 99 112  98  87 117 112  97  91  89  98  0.378705    993/1000	 NonOverlappingTemplate
 87  91 110 105  86  89 109 102 100 121  0.203351    993/1000	 NonOverlappingTemplate
 91  86  82 111  96 122 105 106  94 107  0.134172    991/1000	 NonOverlappingTemplate
101 109  97 100  98 114  87  99  98  97  0.856359    989/1000	 NonOverlappingTemplate
 92 125  86 109 103  95 102  93 112  83  0.094854    990/1000	 NonOverlappingTemplate
103  92 101 104  85 101 115 108  96  95  0.693142    987/1000	 NonOverlappingTemplate
 87  96 119 106  98 114 104  89  84 103  0.222480    989/1000	 NonOverlappingTemplate
107  96  86 113 107  94 119 100  76 102  0.103753    989/1000	 NonOverlappingTemplate
109 105 108  93 103 100  86  98  98 100  0.889118    988/1000	 NonOverlappingTemplate
107 107  93  88  97  95 103 110 109  91  0.743915    991/1000	 NonOverlappingTemplate
103  88 105 108  98 110 116  99  85  88  0.373625    983/1000	 NonOverlappingTemplate
100 107  77  91 107 105 121  95  92 105  0.168112    990/1000	 NonOverlappingTemplate
107 117  92 102 107  98 107  94  92  84  0.471146    992/1000	 NonOverlappingTemplate
108 103 109 101 101 101  95  92  97  93  0.962688    989/1000	 NonOverlappingTemplate
124  92 104 103  96  95  89 104 103  90  0.390721    987/1000	 NonOverlappingTemplate
 87 113 111 101  90 110  96  90 100 102  0.554420    991/1000	 NonOverlappingTemplate
113 104  83  94 103 106 104  99  89 105  0.618385    991/1000	 NonOverlappingTemplate
 92  99 110  95  99 103  99  99 108  96  0.971006    989/1000	 NonOverlappingTemplate
101 104 105  76 100 113 115  88  89 109  0.138069    993/1000	 NonOverlappingTemplate
108 120  89  94  93 104  96  96 107  93  0.518106    985/1000	 NonOverlappingTemplate
109  99  98  92 114  83  97 112  95 101  0.520102    988/1000	 NonOverlappingTemplate
105 102 112 102  87 107  95 106  88  96  0.723804    992/1000	 NonOverlappingTemplate
100  96  98 101 101 117  93  77 104 113  0.293952    987/1000	 NonOverlappingTemplate
109  90 104  98 104  96  91 104  97 107  0.919131    982/1000	 NonOverlappingTemplate
112 100 100 101  93  99  84 105 104 102  0.837781    986/1000	 NonOverlappingTemplate
 94  87 102 100 102  94 101 111  93 116  0.662091    988/1000	 NonOverlappingTemplate
 95 116  91 112  90 107  96  94 102  97  0.616305    991/1000	 NonOverlappingTemplate
 89 104  92 107  96  86  98 111 102 115  0.518106    991/1000	 NonOverlappingTemplate
111  94  94  77 102 114  92 110  95 111  0.195864    990/1000	 NonOverlappingTemplate
111 104  93 104 108  92  87 107  91 103  0.701366    984/1000	 NonOverlappingTemplate
 90  97 105  87  94 113 103 103 109  99  0.731886    989/1000	 NonOverlappingTemplate
 98  94 129 104  89  94 104  97 101  90  0.224821    987/1000	 NonOverlappingTemplate
103 110 103  96 102  85 118  88 106  89  0.360287    989/1000	 NonOverlappingTemplate
 92  89 111  98  99  95 101 100 112 103  0.842937    993/1000	 NonOverlappingTemplate
 97 104  94  97 109 100 112 103  86  98  0.830808    991/1000	 NonOverlappingTemplate
108 109  95  83 109  97 106  82 115  96  0.242986    992/1000	 NonOverlappingTemplate
 98  76  90 101 113 112 106 103 102  99  0.316052    987/1000	 NonOverlappingTemplate
110 101 104  96  99  90 103 102  95 100  0.974370    992/1000	 NonOverlappingTemplate
101 103  85 103  84  99 111 100 104 110  0.597620    991/1000	 NonOverlappingTemplate
 95 109  96 100 105 118  90  98  87 102  0.587274    994/1000	 NonOverlappingTemplate
102 103 115 114  99  94  86 108 102  77  0.179584    989/1000	 NonOverlappingTemplate
 88  99  96 104 102  97 103 112 103  96  0.931185    989/1000	 NonOverlappingTemplate
 93  93  92 108 108 106 101  93 103 103  0.915317    992/1000	 NonOverlappingTemplate
 96  86 107 109 101 118 101 104  86  92  0.397688    984/1000	 NonOverlappingTemplate
 97  87  90 107 107  98 108 107  98 101  0.836048    993/1000	 NonOverlappingTemplate
102  81 101 101 109 103 100  87 115 101  0.482707    994/1000	 NonOverlappingTemplate
100 105  95 110 104 106 104 102  87  87  0.779188    985/1000	 NonOverlappingTemplate
102  97  96 102  82 113 104  98 109  97  0.703417    993/1000	 NonOverlappingTemplate
112  89 112  95  81 115 106  95 106  89  0.192724    987/1000	 NonOverlappingTemplate
116  94  87 107  90  96 109 105  99  97  0.593478    995/1000	 NonOverlappingTemplate
116 108 108 112  81 101  83 100 104  87  0.135720    986/1000	 NonOverlappingTemplate
 88 105 101  98 100 109 116 118  84  81  0.104993    994/1000	 NonOverlappingTemplate
 99  88  94  98 111  94 114 102  94 106  0.725829    995/1000	 NonOverlappingTemplate
 89 111  89 115  88  93 120  93  96 106  0.170922    987/1000	 NonOverlappingTemplate
108 103 108  94  87 107  99  91 111  92  0.680755    993/1000	 NonOverlappingTemplate
 96  92 119 104  83 111  86 102 113  94  0.175691    992/1000	 NonOverlappingTemplate
104 115  93  93  86 102 101 100  87 119  0.296834    989/1000	 NonOverlappingTemplate
114  98  97  97 101  93 107  95  89 109  0.794391    993/1000	 NonOverlappingTemplate
134 105 112  78 101  89 101  82  98 100  0.007160    986/1000	 NonOverlappingTemplate
114 112  93  76 110 101 103  77 101 113  0.038313    990/1000	 NonOverlappingTemplate
 92 100 116  99  90 107 108  99  89 100  0.682823    987/1000	 NonOverlappingTemplate
112 106  95  99  94  86  93 109 103 103  0.753844    988/1000	 NonOverlappingTemplate
 93  97  91 107  80 108 121 115  75 113  0.012128    992/1000	 NonOverlappingTemplate
107  90  81 106 126  96 109  97  86 102  0.083526    991/1000	 NonOverlappingTemplate
110 100  92  98 113 117  79  98  97  96  0.278461    994/1000	 NonOverlappingTemplate
106  96  92 104  94  92 115  96 103 102  0.846338    986/1000	 NonOverlappingTemplate
