# SOPH Battery Test Log
# Suite:     nist
# Seed:      04
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 04 --bytes 0
# Date:      2026-03-22 10:40:07
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
112  99 113  99  91 115  86  99 102  84  0.291091    979/1000 *	 Frequency
101  92 102 103 117 102  99  88  76 120  0.093157    986/1000	 BlockFrequency
102 116 101 112  88  97  90  84 101 109  0.353733    980/1000 *	 CumulativeSums
110 111 117 101 111  82  88  89  95  96  0.180568    983/1000	 CumulativeSums
108 105  95  91 108  91 101 100 102  98  0.941541    990/999 	 Runs
 89  98 106 106 105 110 104 110  84  88  0.496351    988/1000	 LongestRun
106  96 112  83 113  92 110  89 100  99  0.401199    990/1000	 Rank
110 103  95  95 108 115 108  76  99  91  0.230755    985/1000	 DFT
 91 101 112 112  91  90 108 103  96  96  0.682823    992/1000	 NonOverlappingTemplate
105 108  82  98 107 108 104  97  98  93  0.731886    981/1000	 NonOverlappingTemplate
109 102  95  91 104  96 107  98  95 103  0.960198    990/1000	 NonOverlappingTemplate
 86 109  99 103  90  97 110 100 110  96  0.727851    992/1000	 NonOverlappingTemplate
102 103 108 101 104  96  98  92  99  97  0.993226    990/1000	 NonOverlappingTemplate
108 106  99  81 100  98  90  94 108 116  0.417219    990/1000	 NonOverlappingTemplate
107 105 109  89 122 102 110  88  93  75  0.051611    991/1000	 NonOverlappingTemplate
101  95 102 109  84 106  95 107  99 102  0.849708    990/1000	 NonOverlappingTemplate
 97 106  95 109  95  98 111 100  96  93  0.932333    995/1000	 NonOverlappingTemplate
102 102 101 106  98  90 108  91  98 104  0.958485    988/1000	 NonOverlappingTemplate
 88 112 101 106  97  88 116  95  97 100  0.566688    993/1000	 NonOverlappingTemplate
104  97  98  98  94 126  93  93  86 111  0.236810    989/1000	 NonOverlappingTemplate
 88 107  83  92  99 108  98 114  93 118  0.222480    986/1000	 NonOverlappingTemplate
101 115  89 118 102  90  95  93  91 106  0.378705    987/1000	 NonOverlappingTemplate
101  94  93 104  91  91 121 102 101 102  0.622546    991/1000	 NonOverlappingTemplate
109 108 126  87  93  95  88  87 109  98  0.101917    991/1000	 NonOverlappingTemplate
101  87 110  99 116 103 117  96  83  88  0.174728    987/1000	 NonOverlappingTemplate
104  98 103  96 103 106 108 105  93  84  0.848027    991/1000	 NonOverlappingTemplate
 97 115  93 105  92 101 110  93 102  92  0.749884    995/1000	 NonOverlappingTemplate
100  89 109  99 101  94  97  93 105 113  0.841226    989/1000	 NonOverlappingTemplate
102 108 108 116  89  93  95  96  98  95  0.711601    994/1000	 NonOverlappingTemplate
109 104 102  96  99  92  94  92 104 108  0.934599    992/1000	 NonOverlappingTemplate
 99 115 101  91 112  83 113  99  93  94  0.353733    993/1000	 NonOverlappingTemplate
 99  95 101  96  88  93 109 110 104 105  0.869278    986/1000	 NonOverlappingTemplate
 95 114  70  99 105 104  89 110 106 108  0.095426    992/1000	 NonOverlappingTemplate
117  97  95  97  98 100  95 107  87 107  0.711601    992/1000	 NonOverlappingTemplate
111 110  99 106 103 104  90  94  83 100  0.628790    991/1000	 NonOverlappingTemplate
 96 101  96 106  94  92  98 104 106 107  0.973718    987/1000	 NonOverlappingTemplate
 94 109  86  78  89  93 117 108 110 116  0.052610    988/1000	 NonOverlappingTemplate
 94 113  91 109 107  95  93 107 104  87  0.612147    989/1000	 NonOverlappingTemplate
110  99 110 105  96 102  93  86  89 110  0.624627    990/1000	 NonOverlappingTemplate
106  82  94 108  97 110  98 102 104  99  0.745908    992/1000	 NonOverlappingTemplate
103 118  96  96  79 109  88 100 112  99  0.227180    992/1000	 NonOverlappingTemplate
104  99  99 103 103 109  82 101 108  92  0.769527    991/1000	 NonOverlappingTemplate
115  97 100  99  93 109  92  98 105  92  0.814724    996/1000	 NonOverlappingTemplate
 97  97  96  94 104 110  85 106 104 107  0.823725    989/1000	 NonOverlappingTemplate
111 122  84 102 106  97  86  92  99 101  0.229559    984/1000	 NonOverlappingTemplate
109  94 107 116  91 109  87  96 104  87  0.388990    984/1000	 NonOverlappingTemplate
121  92  88 110  97  83  92 102 110 105  0.191687    985/1000	 NonOverlappingTemplate
105  93 123  93  98 109  90 105  93  91  0.357000    988/1000	 NonOverlappingTemplate
104  95  91 105 104 104 104  93  94 106  0.957612    990/1000	 NonOverlappingTemplate
 92 112  90  97  96  91 109 115 107  91  0.484646    989/1000	 NonOverlappingTemplate
110  90 100  98  88 100 100 109 105 100  0.872425    986/1000	 NonOverlappingTemplate
106  92 100 124  95  97  98  95  94  99  0.558502    990/1000	 NonOverlappingTemplate
102 100 103 101  93 107  93 101 104  96  0.992381    989/1000	 NonOverlappingTemplate
103 112 120  94 109  94  97  83  96  92  0.286836    988/1000	 NonOverlappingTemplate
 96  86 102 103 107 124  84 116  84  98  0.062427    987/1000	 NonOverlappingTemplate
 72  96  95  98  95 101 112 125 106 100  0.055361    997/1000	 NonOverlappingTemplate
 93 112  96  93 119  89  93 112  99  94  0.375313    990/1000	 NonOverlappingTemplate
111  88 101  95 106  83  95 109  99 113  0.444691    985/1000	 NonOverlappingTemplate
 96  94  94  89  98 117 108 104 103  97  0.739918    989/1000	 NonOverlappingTemplate
106  90 101 109  96  95  97  96 110 100  0.921624    990/1000	 NonOverlappingTemplate
104 101 111  92 105 105  94  96  95  97  0.947308    987/1000	 NonOverlappingTemplate
 99 110  93  94  91 102 111  89 106 105  0.765632    992/1000	 NonOverlappingTemplate
114 119  87  97  97 109 102  91  94  90  0.314544    989/1000	 NonOverlappingTemplate
109  97 105 110  93  86 100 101 108  91  0.733899    996/1000	 NonOverlappingTemplate
 93  91 106 109  90  91 110  93 113 104  0.572847    986/1000	 NonOverlappingTemplate
114 110  90  97  78 105 105  99  94 108  0.319084    990/1000	 NonOverlappingTemplate
108 113 106  77  97  96 110  96 100  97  0.394195    988/1000	 NonOverlappingTemplate
 96  91 114  90  92  97 120  83 116 101  0.118120    989/1000	 NonOverlappingTemplate
 94  87 108  93  93  95 100 110  96 124  0.286836    991/1000	 NonOverlappingTemplate
101  94  97  94 101 120  99 104  86 104  0.624627    988/1000	 NonOverlappingTemplate
 96 100  93  93  96 105  95  97 112 113  0.832561    991/1000	 NonOverlappingTemplate
108 106 100 107 102 104  93  89  97  94  0.921624    989/1000	 NonOverlappingTemplate
101  98 101  99  97  90 102 102 111  99  0.981940    997/1000	 NonOverlappingTemplate
