# SOPH Battery Test Log
# Suite:     nist
# Seed:      05
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 05 --bytes 0
# Date:      2026-03-22 10:41:43
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
112  87 107 110 100  99 100  98  94  93  0.786830    990/1000	 Frequency
 93  96 106 109 114  92  97  91  98 104  0.786830    993/1000	 BlockFrequency
110  85  96 105 109 114  94 100  83 104  0.363593    992/1000	 CumulativeSums
110  85 103 111 106 105  96  98  98  88  0.653773    991/1000	 CumulativeSums
119 100  93 116  83  84 107 100 106  92  0.137282    985/1000	 Runs
100  84 107 112  92  91 109  97 101 107  0.601766    988/1000	 LongestRun
105 115 101  75  97  95 103 106 104  99  0.373625    991/1000	 Rank
108 104 113 105  77  85 110 102 104  92  0.206629    982/1000	 DFT
 99  87 105 104  85 111 108 109  90 102  0.528111    990/1000	 NonOverlappingTemplate
 96 101  94 112  87 108  98 117  97  90  0.502247    984/1000	 NonOverlappingTemplate
 97  96  94 108  97  98 105  96 106 103  0.987079    995/1000	 NonOverlappingTemplate
108  91  96 109  85 111 107 102 101  90  0.593478    981/1000	 NonOverlappingTemplate
109 104 104  96  99  87  89  96 115 101  0.676615    991/1000	 NonOverlappingTemplate
 97  99 113 103  96  90 103  87 105 107  0.783019    990/1000	 NonOverlappingTemplate
 96 106  98  94 102 102 104  76 121 101  0.253122    991/1000	 NonOverlappingTemplate
107  95 103 110  97 100  93  89  95 111  0.827279    990/1000	 NonOverlappingTemplate
119  91  85  98  99 102 115 114  87  90  0.134944    987/1000	 NonOverlappingTemplate
 96  83  95 108 114 108  86 115  97  98  0.284024    991/1000	 NonOverlappingTemplate
 88  97  99 104  82 104 111 120  91 104  0.257004    994/1000	 NonOverlappingTemplate
 90 101  92 100 121  99 106  85  96 110  0.363593    992/1000	 NonOverlappingTemplate
103 108  99  99  94 102 111  98  92  94  0.946308    991/1000	 NonOverlappingTemplate
 93 102  98  85  98  83 119 121  94 107  0.101917    994/1000	 NonOverlappingTemplate
101 104 108  98 115  83 106  93  90 102  0.546283    993/1000	 NonOverlappingTemplate
117  93  98 101  89 104 112  90  99  97  0.601766    988/1000	 NonOverlappingTemplate
 93 113 105 102  91 106  85 103 101 101  0.739918    989/1000	 NonOverlappingTemplate
105 100  88  90 103 124  92 116  93  89  0.143686    991/1000	 NonOverlappingTemplate
 88 102  99  84 122  94 104 111 103  93  0.262249    992/1000	 NonOverlappingTemplate
106  87  94  95 103  94 119  87 100 115  0.299736    993/1000	 NonOverlappingTemplate
111 110 106  91  98 113  90 105  87  89  0.413628    991/1000	 NonOverlappingTemplate
 95 106  85  82 104  95  99 126  96 112  0.094285    991/1000	 NonOverlappingTemplate
102  97 102  87  89  88 101  99 105 130  0.130369    986/1000	 NonOverlappingTemplate
111  94  92  94 106  93 102 108 101  99  0.903338    990/1000	 NonOverlappingTemplate
 89 103 101  91 107  89  97 113  97 113  0.597620    991/1000	 NonOverlappingTemplate
 97  95  86 110  83 110  99 107 103 110  0.457825    990/1000	 NonOverlappingTemplate
 93 114  92 109 105 109  99  97  94  88  0.651693    988/1000	 NonOverlappingTemplate
108  96 106 100  97 113  83  90 112  95  0.482707    985/1000	 NonOverlappingTemplate
 91 101  98 105 112 108  97 106  93  89  0.803720    990/1000	 NonOverlappingTemplate
 96 100 105  94 101  96  99 105  94 110  0.979226    990/1000	 NonOverlappingTemplate
116  89  99  92 108 103 112  98  82 101  0.360287    984/1000	 NonOverlappingTemplate
113  91  95 105 117  89 101  93  90 106  0.440975    989/1000	 NonOverlappingTemplate
101  98  96 116  87 117  91  85 103 106  0.285427    992/1000	 NonOverlappingTemplate
 99  94  97 110  88  91  99 114  98 110  0.666245    993/1000	 NonOverlappingTemplate
 87  89 100 104 119  92  93 106 104 106  0.467322    991/1000	 NonOverlappingTemplate
112 107  92  81 105 105  99 104 102  93  0.597620    988/1000	 NonOverlappingTemplate
 87 102 104 114 102 102  88  91 110 100  0.618385    993/1000	 NonOverlappingTemplate
 97  87 104  99  94 102 108  93 107 109  0.853049    998/1000	 NonOverlappingTemplate
 92 113 100 103  97  98 110 105  80 102  0.550347    990/1000	 NonOverlappingTemplate
115 108  97  87  92  97  97  92 118  97  0.395940    992/1000	 NonOverlappingTemplate
100 103  99  93 107  99 105  89  97 108  0.952152    993/1000	 NonOverlappingTemplate
 92 106 104 103  89  96  98 103 103 106  0.955835    994/1000	 NonOverlappingTemplate
104 104 116 110  87  83 105 113  77 101  0.073417    991/1000	 NonOverlappingTemplate
110  91  97  96 101 101 100 110  85 109  0.725829    986/1000	 NonOverlappingTemplate
 97  99 113 105  90  86 111  97 103  99  0.699313    995/1000	 NonOverlappingTemplate
105  98 113 102  90 101  99  98  97  97  0.953089    984/1000	 NonOverlappingTemplate
 98  99  83  98  84 106 117  90 117 108  0.148653    990/1000	 NonOverlappingTemplate
 90 102 104 100  96 111 105 118  93  81  0.337688    994/1000	 NonOverlappingTemplate
 97 118 104 108  82 100 110  90  92  99  0.348869    992/1000	 NonOverlappingTemplate
102  98 107 100  93 106  96  89 103 106  0.954015    990/1000	 NonOverlappingTemplate
 95  91 115 104  94 101  88 109 111  92  0.540204    990/1000	 NonOverlappingTemplate
103 110  99 103 100  98 100  85 110  92  0.823725    986/1000	 NonOverlappingTemplate
103 105  87  96 112 104  95  92 110  96  0.755819    992/1000	 NonOverlappingTemplate
 79 108 100 103  97 115  90  96 107 105  0.402962    997/1000	 NonOverlappingTemplate
102 112 110  98  90 106  85 106  98  93  0.635037    993/1000	 NonOverlappingTemplate
101 103 101  77  93 103 105  92 104 121  0.246750    991/1000	 NonOverlappingTemplate
 99 106 106  87  96  84 110  90 125  97  0.142062    991/1000	 NonOverlappingTemplate
 98 109 104 112 107 103 102  80  86  99  0.433590    988/1000	 NonOverlappingTemplate
 74  99  85 102 106 104 106 114 105 105  0.191687    992/1000	 NonOverlappingTemplate
 95 108 114 101  87 112  96  89  96 102  0.579021    991/1000	 NonOverlappingTemplate
 84  97 113 118 115  93  93 108  90  89  0.134944    991/1000	 NonOverlappingTemplate
 94  88 103  99  99 102 107 106 113  89  0.769527    991/1000	 NonOverlappingTemplate
 97 102 109 110 102  86  74 114 114  92  0.084037    991/1000	 NonOverlappingTemplate
101 110  99 109 104  99  85  82 102 109  0.500279    991/1000	 NonOverlappingTemplate
111 102 110  88  94 102  98 108  94  93  0.777265    992/1000	 NonOverlappingTemplate
 92  85  90 116 113  94  95  96  89 130  0.024192    989/1000	 NonOverlappingTemplate
 82 101 121 104 101 102  97  95  97 100  0.504219    989/1000	 NonOverlappingTemplate
 95  99  96  90 102 108 114  96  93 107  0.816537    992/1000	 NonOverlappingTemplate
122  84  86  95 107 103 110 104  92  97  0.208837    987/1000	 NonOverlappingTemplate
101  83 103  98 111  95 105 105 102  97  0.823725    990/1000	 NonOverlappingTemplate
101 101  98  91 100 103  87 115 105  99  0.820143    997/1000	 NonOverlappingTemplate
 99 102 101 106  96  88  97 107 103 101  0.975012    987/1000	 NonOverlappingTemplate
113  98  91 108  83 114 102  91 106  94  0.383827    982/1000	 NonOverlappingTemplate
108 100 114  90 101 121 106  83  86  91  0.120909    992/1000	 NonOverlappingTemplate
 98  87 107 102  86 112 107 109  90 102  0.534146    990/1000	 NonOverlappingTemplate
 91  98 100 109 104  92  98 111 105  92  0.867692    994/1000	 NonOverlappingTemplate
105  92 107 107  74 115 106 104  98  92  0.208837    988/1000	 NonOverlappingTemplate
 99  95 102 102  94 109 111  99  93  96  0.947308    990/1000	 NonOverlappingTemplate
 91 104 114 108  94  93 113  98  97  88  0.566688    993/1000	 NonOverlappingTemplate
104 105 106  82 100  95  92 118 103  95  0.486588    990/1000	 NonOverlappingTemplate
118 109 117  99  86  85  90 101  94 101  0.184549    991/1000	 NonOverlappingTemplate
 91  96  98  94 109 110 107  97  94 104  0.892036    993/1000	 NonOverlappingTemplate
102 100  95 100  92 106 101  98 103 103  0.996996    992/1000	 NonOverlappingTemplate
107 107 103  96  96 110  82  99 102  98  0.767582    988/1000	 NonOverlappingTemplate
113 100  93  98 111  98  98 103  89  97  0.842937    986/1000	 NonOverlappingTemplate
102 112 106 101 102 110  85  94  80 108  0.339271    993/1000	 NonOverlappingTemplate
105 102 101 103  96 102 103  88 104  96  0.982454    991/1000	 NonOverlappingTemplate
109  89 123  82  95 103  94  98 103 104  0.240501    988/1000	 NonOverlappingTemplate
117  89  97  96 109  98  95  85 102 112  0.420827    989/1000	 NonOverlappingTemplate
 88 118  96  87 103 117 109  88  86 108  0.110083    986/1000	 NonOverlappingTemplate
108 106  85  92 103  97 104  97 104 104  0.864494    991/1000	 NonOverlappingTemplate
 96  86  88 103 110 105 102 120  95  95  0.397688    988/1000	 NonOverlappingTemplate
105  93 102 102 106 101  92  98 108  93  0.964295    994/1000	 NonOverlappingTemplate
 97 109 111  98 102 100 108  93  99  83  0.717714    984/1000	 NonOverlappingTemplate
 84  93  92 117 113 108 108  90  86 109  0.148653    994/1000	 NonOverlappingTemplate
 95  91 105 100 108 116  97 106  93  89  0.672470    996/1000	 NonOverlappingTemplate
111  95 104  90 102 111 109 107  80  91  0.352107    986/1000	 NonOverlappingTemplate
103 100  95 107  89  90 100 109  98 109  0.859637    990/1000	 NonOverlappingTemplate
105  90 108 100 107  88  93 110 102  97  0.794391    988/1000	 NonOverlappingTemplate
106  91  92  92 107 106 121  99 100  86  0.377007    988/1000	 NonOverlappingTemplate
 98 111  85 123 107 106 104  92  92  82  0.111389    991/1000	 NonOverlappingTemplate
101  92  98  90  96 104 100  99 107 113  0.897763    994/1000	 NonOverlappingTemplate
101 108 103  99  89 107 100  87  96 110  0.807412    993/1000	 NonOverlappingTemplate
108  92 109  98  93  98  93  95 109 105  0.878618    990/1000	 NonOverlappingTemplate
100  99  89  95 103  86 103 104  98 123  0.428095    989/1000	 NonOverlappingTemplate
 94 107  96  98  96 109 108 103  89 100  0.914025    992/1000	 NonOverlappingTemplate
107 102 100  89  95  86 103  95 107 116  0.601766    990/1000	 NonOverlappingTemplate
 89  90 102  86 102 124  93 117  97 100  0.142062    990/1000	 NonOverlappingTemplate
 88  82 105 107  95 104 110  95 101 113  0.457825    991/1000	 NonOverlappingTemplate
119  85 103  94 105 101  86 103 107  97  0.419021    986/1000	 NonOverlappingTemplate
110 114  95  82  79 106 119  90  97 108  0.056069    994/1000	 NonOverlappingTemplate
103 103 104 104 107  91  98  99  96  95  0.986658    989/1000	 NonOverlappingTemplate
 96  99  85  93  92 119 118  98 100 100  0.316052    989/1000	 NonOverlappingTemplate
110  99 108  90  98 100 114  90  93  98  0.721777    986/1000	 NonOverlappingTemplate
 93 109  83 102 116  91  95 109 102 100  0.465415    990/1000	 NonOverlappingTemplate
109 101 104 109  95  87  90 106  94 105  0.769527    990/1000	 NonOverlappingTemplate
 94  87 110 109 100 108  97  86 112  97  0.526105    989/1000	 NonOverlappingTemplate
115 101  80  97  81 103 102 100 103 118  0.144504    987/1000	 NonOverlappingTemplate
 97  99  96  96 100 103  95 118  89 107  0.769527    990/1000	 NonOverlappingTemplate
 87 113  87 114  99 104  92 105  92 107  0.417219    988/1000	 NonOverlappingTemplate
 95  98  98 114  81  98 113 108  85 110  0.241741    986/1000	 NonOverlappingTemplate
102 103  93  87 100 113  83 103 126  90  0.098330    985/1000	 NonOverlappingTemplate
106  96  95  86  99 104  98 103 118  95  0.686955    988/1000	 NonOverlappingTemplate
102  92 112 101 103  88  90 106 102 104  0.814724    993/1000	 NonOverlappingTemplate
109  74  96 101 102 108  96 114 103  97  0.295391    986/1000	 NonOverlappingTemplate
100 117  94 101 100  99 109  85 104  91  0.605916    991/1000	 NonOverlappingTemplate
101 108  87 106  93 102 115  93  89 106  0.581082    991/1000	 NonOverlappingTemplate
114  87 101 105 106  88  98  82 118 101  0.200115    991/1000	 NonOverlappingTemplate
110  95  95  96 118  91  84  95 106 110  0.360287    987/1000	 NonOverlappingTemplate
114  98 104  95  89  87 111  91 103 108  0.528111    990/1000	 NonOverlappingTemplate
113 104  98 102  88 108 102  92 103  90  0.761719    993/1000	 NonOverlappingTemplate
 96  90  93 107  85 113 121  93 108  94  0.214439    990/1000	 NonOverlappingTemplate
 95  94  92 108 105 113  93 117  86  97  0.413628    994/1000	 NonOverlappingTemplate
 94 109  97 105  83  88 105 115 112  92  0.317565    990/1000	 NonOverlappingTemplate
 97 107  89 115  88  92 103  89 112 108  0.392456    991/1000	 NonOverlappingTemplate
103  97  97 100  90 110  90  92 106 115  0.686955    985/1000	 NonOverlappingTemplate
 96  96  91 107 100 109  86 106 111  98  0.739918    984/1000	 NonOverlappingTemplate
112  83  97 121  99 106 116  97  90  79  0.044797    987/1000	 NonOverlappingTemplate
111  92  99 115  93  95 113  97  87  98  0.498313    991/1000	 NonOverlappingTemplate
 84  97  70 116 108 108 112 112 100  93  0.026410    994/1000	 NonOverlappingTemplate
101 108  86 106  95 104  96 110  96  98  0.856359    990/1000	 NonOverlappingTemplate
122  94  90 102  92 103  97 108  93  99  0.514124    978/1000 *	 NonOverlappingTemplate
 94 101 111  89  93 100 109 111  91 101  0.727851    989/1000	 NonOverlappingTemplate
 85  93 109 105  99 110  98  84 103 114  0.395940    991/1000	 NonOverlappingTemplate
100 103 117  96 110  88  82 102 108  94  0.361938    996/1000	 NonOverlappingTemplate
 96 103 112 102  96 112  88  95 113  83  0.383827    992/1000	 NonOverlappingTemplate
108 107  77 100  82 108 109 110 107  92  0.152044    991/1000	 NonOverlappingTemplate
108 100 114  88 103 121 105  85  85  91  0.118812    992/1000	 NonOverlappingTemplate
 85  90 112 123 101  86 107  86 101 109  0.085068    994/1000	 OverlappingTemplate
111  91  88  97  97  94 136  90 106  90  0.022605    986/1000	 Universal
100  94  91 101  96 116  89  99 106 108  0.727851    989/1000	 ApproximateEntropy
 64  61  64  55  68  72  53  67  57  69  0.761937    621/630 	 RandomExcursions
 61  52  53  70  60  68  78  57  69  62  0.382196    625/630 	 RandomExcursions
 64  61  60  68  65  56  65  74  53  64  0.830138    625/630 	 RandomExcursions
 60  69  72  61  69  58  60  57  68  56  0.841171    623/630 	 RandomExcursions
 69  77  66  78  52  55  67  75  44  47  0.006990    623/630 	 RandomExcursions
 67  74  78  68  49  49  56  62  68  59  0.129264    618/630 	 RandomExcursions
 64  61  59  67  54  65  73  68  53  66  0.774295    625/630 	 RandomExcursions
 66  71  57  51  52  59  75  68  63  68  0.412748    623/630 	 RandomExcursions
 59  57  63  56  75  55  55  82  57  71  0.152125    627/630 	 RandomExcursionsVariant
 59  51  66  57  63  73  56  62  85  58  0.132858    625/630 	 RandomExcursionsVariant
 56  62  61  63  49  73  65  67  59  75  0.493150    622/630 	 RandomExcursionsVariant
 64  52  66  65  60  66  67  61  56  73  0.824517    620/630 	 RandomExcursionsVariant
 66  59  61  57  75  72  60  58  65  57  0.761937    624/630 	 RandomExcursionsVariant
 57  64  61  78  60  61  66  77  55  51  0.276799    622/630 	 RandomExcursionsVariant
 47  66  73  65  69  54  69  61  68  58  0.424193    624/630 	 RandomExcursionsVariant
 47  67  72  59  67  59  66  73  70  50  0.239540    625/630 	 RandomExcursionsVariant
 67  50  70  49  73  67  75  60  53  66  0.170667    627/630 	 RandomExcursionsVariant
 72  76  62  64  55  58  54  69  58  62  0.566428    624/630 	 RandomExcursionsVariant
 82  57  58  59  67  69  57  61  56  64  0.418449    620/630 	 RandomExcursionsVariant
 79  60  60  62  64  40  75  66  70  54  0.044654    618/630 	 RandomExcursionsVariant
 81  58  59  67  64  56  51  62  67  65  0.395912    622/630 	 RandomExcursionsVariant
 73  54  61  69  72  64  58  53  53  73  0.353061    617/630 	 RandomExcursionsVariant
 67  52  67  74  59  66  59  60  61  65  0.810180    621/630 	 RandomExcursionsVariant
 71  61  53  62  81  42  75  60  72  53  0.017145    620/630 	 RandomExcursionsVariant
 73  60  57  58  61  70  60  63  69  59  0.874924    620/630 	 RandomExcursionsVariant
 70  56  65  50  71  77  55  64  61  61  0.384916    621/630 	 RandomExcursionsVariant
105  92 101 108 108  96 111 100  96  83  0.678686    993/1000	 Serial
 98  98 111 105 106 100  91  87 125  79  0.089301    990/1000	 Serial
113 102 114 114  82  89  90  96 101  99  0.257004    992/1000	 LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 980 for a
sample size = 1000 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 616 for a sample size = 630 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

# ── Sub-test flags within expected false-positive rate ──
# NonOverlappingTemplate: 1 sub-test(s) flagged (expected ~1.5 at alpha=0.01, threshold for re-run: 4)
# These are NOT failures — statistical noise consistent with /dev/urandom.
