# SOPH Battery Test Log
# Suite:     nist
# Seed:      0000
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 0000 --bytes 0
# Date:      2026-03-22 10:43:00
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 91  99  89 112  77 103 112 107 103 107  0.251837    997/1000	 Frequency
106  79 112 107 122 100  94  83 105  92  0.073872    990/1000	 BlockFrequency
 97 100  83  96 103  99 111  96 110 105  0.753844    993/1000	 CumulativeSums
 93 111  90  86 112 104  98 100  96 110  0.589341    994/1000	 CumulativeSums
106 103  89 106  93  98  98 102  94 111  0.897763    988/1000	 Runs
108 112 109  87  84  94 106  86 109 105  0.284024    992/1000	 LongestRun
 81  96  97  96  80 107 101  95 104 143  0.001192    990/1000	 Rank
120  92  87 117  95  93  98 102 103  93  0.302657    992/1000	 DFT
105 102 117  94 106  99  83  84  92 118  0.152044    990/1000	 NonOverlappingTemplate
115  88  94  95 101  88 109  94 111 105  0.496351    994/1000	 NonOverlappingTemplate
 97  95 114 110 110  92  92  89 108  93  0.542228    990/1000	 NonOverlappingTemplate
 98 100  98 109  98  97 124  90  88  98  0.413628    991/1000	 NonOverlappingTemplate
108 101  96 105  98 108  96  95  82 111  0.678686    987/1000	 NonOverlappingTemplate
 86  87  95 104 112 102 101 100 105 108  0.695200    988/1000	 NonOverlappingTemplate
105 113  89 104 112  93 100  95 101  88  0.643366    990/1000	 NonOverlappingTemplate
 91  99  99  94 102 103 120  97 106  89  0.639202    988/1000	 NonOverlappingTemplate
 96 106 116 106  82 105  98 101  90 100  0.536163    995/1000	 NonOverlappingTemplate
111  95  90  89  94 105 106 114 108  88  0.467322    993/1000	 NonOverlappingTemplate
101  97 107  90  90 100  97  98 108 112  0.851383    989/1000	 NonOverlappingTemplate
 89  99 108  99  85 104 107 116 100  93  0.552383    992/1000	 NonOverlappingTemplate
123 102  96 106  81 107  87 101  91 106  0.170922    991/1000	 NonOverlappingTemplate
 88 111  89 106  99  93 115 116 103  80  0.136499    994/1000	 NonOverlappingTemplate
117  89  95  94 112 102  82 101  96 112  0.272977    986/1000	 NonOverlappingTemplate
 92 101  88 109 101 106 104 110 102  87  0.723804    989/1000	 NonOverlappingTemplate
107  99  90  97 100  91  92  98 106 120  0.591409    987/1000	 NonOverlappingTemplate
 91 125  91 101 100  88 106 103 100  95  0.348869    988/1000	 NonOverlappingTemplate
 98  94 100 104 102  95  82  97 129  99  0.181557    993/1000	 NonOverlappingTemplate
 95 108 100  92 121  88 100  94 112  90  0.336111    990/1000	 NonOverlappingTemplate
101 103  78  95 112 109  97  96 102 107  0.512137    986/1000	 NonOverlappingTemplate
122 104  85 107 115  96  90  98  97  86  0.152044    987/1000	 NonOverlappingTemplate
100  99 103 106 110  96  98  88  89 111  0.786830    994/1000	 NonOverlappingTemplate
111  91  91  98  95 115 112  91 102  94  0.532132    991/1000	 NonOverlappingTemplate
 91 113 106  92  93  97  92  97 102 117  0.560545    990/1000	 NonOverlappingTemplate
 83 103 102 113  97 102 105  87 100 108  0.593478    992/1000	 NonOverlappingTemplate
100 107 114 104  91  82  87 101 119  95  0.201189    993/1000	 NonOverlappingTemplate
 92  99  89  95 111 115  97  99  99 104  0.755819    989/1000	 NonOverlappingTemplate
 94  95 102  80 116 101 110  98  94 110  0.382115    988/1000	 NonOverlappingTemplate
 99  89  95  92 113 100  98 108 104 102  0.861264    993/1000	 NonOverlappingTemplate
 89  95 100  93  98  97  96 102 124 106  0.494392    993/1000	 NonOverlappingTemplate
 93 107 102  90 113  95 102 101  89 108  0.753844    990/1000	 NonOverlappingTemplate
104  91 108 100 100  93 120  98  98  88  0.572847    988/1000	 NonOverlappingTemplate
 93 103  81  93 106 107  92 123  89 113  0.110083    994/1000	 NonOverlappingTemplate
 98 105  88  89  98 125 100  89 112  96  0.211064    988/1000	 NonOverlappingTemplate
109 100  97  97 122  93 103  90  95  94  0.532132    990/1000	 NonOverlappingTemplate
102 121 101  93  99 107  99 102  99  77  0.289667    993/1000	 NonOverlappingTemplate
 94  95  88 100 100 111 124  89 111  88  0.168112    993/1000	 NonOverlappingTemplate
121  98  91 107 109  97 100  94 100  83  0.358641    985/1000	 NonOverlappingTemplate
 97  93  95 109  94 113 118  79 110  92  0.163513    987/1000	 NonOverlappingTemplate
110 110  99 111 100  91 113  76  83 107  0.094854    991/1000	 NonOverlappingTemplate
 88 110 107  73 105 120  94 110  99  94  0.062821    989/1000	 NonOverlappingTemplate
101 104 104  94  97 117 108  90  82 103  0.471146    988/1000	 NonOverlappingTemplate
 90  82 118 101 115  86 112  94  94 108  0.105618    989/1000	 NonOverlappingTemplate
106  87 100 101 109  97  90 105 108  97  0.839507    991/1000	 NonOverlappingTemplate
 95 101 103  97  98 103 111 104  96  92  0.973718    994/1000	 NonOverlappingTemplate
100 105  93  97  97 107 112  87 107  95  0.809249    995/1000	 NonOverlappingTemplate
120  91  90 101 100 102 117 100  90  89  0.278461    986/1000	 NonOverlappingTemplate
108  83  91  95 118 101 107  98 102  97  0.484646    987/1000	 NonOverlappingTemplate
105  96  89 103 113 108 100 102  93  91  0.800005    994/1000	 NonOverlappingTemplate
 85 110 103  91  97  95 116 126  87  90  0.057146    990/1000	 NonOverlappingTemplate
 91 111  75 102  84 120 103 106 101 107  0.070737    989/1000	 NonOverlappingTemplate
104 114 112  91  98 114  78 104 111  74  0.022452    989/1000	 NonOverlappingTemplate
104 102  88 101 105 101  95  98  99 107  0.975012    991/1000	 NonOverlappingTemplate
119 102  95  87  96  85  89 119 110  98  0.127393    984/1000	 NonOverlappingTemplate
 90 106  86  91  98  99 100 117  98 115  0.404728    988/1000	 NonOverlappingTemplate
101 110  85 100 102  97  96 111 109  89  0.660012    990/1000	 NonOverlappingTemplate
100 106 106 102  98  98  93  97  86 114  0.803720    992/1000	 NonOverlappingTemplate
 91 107  97 100  95 106 101 105 109  89  0.892036    996/1000	 NonOverlappingTemplate
 95 100 102  83 117 113 110  96  89  95  0.320607    995/1000	 NonOverlappingTemplate
106  95  92  88  97 107  96  93 113 113  0.605916    992/1000	 NonOverlappingTemplate
 84 105 103 110  92  92  82 112 103 117  0.169981    989/1000	 NonOverlappingTemplate
 93  99  93 106 109  91 108 110 104  87  0.693142    989/1000	 NonOverlappingTemplate
100  93  95 109  93  97 104 119  83 107  0.411840    994/1000	 NonOverlappingTemplate
112  92  92  88  91 103 102 113  97 110  0.546283    987/1000	 NonOverlappingTemplate
 92  99 108  85 108  94  94 106 114 100  0.614226    986/1000	 NonOverlappingTemplate
100  92  93 108 100 100  94 101 103 109  0.962688    985/1000	 NonOverlappingTemplate
 97  96 111 123  83  97  95  97  99 102  0.340858    989/1000	 NonOverlappingTemplate
 89  98 109 111  95  98  95  99 102 104  0.910091    991/1000	 NonOverlappingTemplate
 95  85 101 117 107  69 111 107 105 103  0.040901    991/1000	 NonOverlappingTemplate
 87 111 109  80  88 115  96 106 106 102  0.195864    992/1000	 NonOverlappingTemplate
 99  99  94 134 107  92  89  88  88 110  0.033362    991/1000	 NonOverlappingTemplate
 83 101  82 122 117  92 102 101 107  93  0.077131    996/1000	 NonOverlappingTemplate
106 122 115 103  92 101  89  89  99  84  0.154629    990/1000	 NonOverlappingTemplate
106 102 116  94 105 100  81  86  92 118  0.161703    990/1000	 NonOverlappingTemplate
 96 113 104  76  90 109 112  99 110  91  0.169981    990/1000	 NonOverlappingTemplate
 88  98 108  93 102 103 101  95 111 101  0.896345    995/1000	 NonOverlappingTemplate
 84 100 116  97 100  92 101 108  93 109  0.554420    986/1000	 NonOverlappingTemplate
 97  94 113 110  93  93  87 110  99 104  0.639202    994/1000	 NonOverlappingTemplate
102  99 107  91  94  99  90 105 111 102  0.896345    987/1000	 NonOverlappingTemplate
101  96  84 126 114  97  91 102  85 104  0.096578    989/1000	 NonOverlappingTemplate
112  91 104  93 101 114 116  94  84  91  0.264901    989/1000	 NonOverlappingTemplate
