# SOPH Battery Test Log
# Suite:     nist
# Seed:      ff
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex ff --bytes 0
# Date:      2026-03-22 10:44:15
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 88 100  98 101  89  99 107 112 100 106  0.834308    993/1000	 Frequency
 90  97 116 108  95  94 101  92 110  97  0.674543    989/1000	 BlockFrequency
 96  89  85  93 113 105 115 106  96 102  0.450297    992/1000	 CumulativeSums
 94  99  97 103 113  96  92  96 101 109  0.910091    994/1000	 CumulativeSums
 88 103  90  93 112 115  98 102  90 109  0.474986    985/1000	 Runs
104 111 107 100  99  92  91  97  90 109  0.814724    987/1000	 LongestRun
 84 102  96 100 105 122  88  87 113 103  0.173770    991/1000	 Rank
103  89 113 101 112  80 105 100 108  89  0.308561    984/1000	 DFT
107 116 115 102  97  92  79 105 100  87  0.190654    992/1000	 NonOverlappingTemplate
106  98 103  86  74 108 109 104 109 103  0.229559    989/1000	 NonOverlappingTemplate
 95  93  94  98  98 102  97 108 100 115  0.897763    989/1000	 NonOverlappingTemplate
109 121  79  94  85  90 112 107 103 100  0.084037    982/1000	 NonOverlappingTemplate
 89 122  92  86 119  99  97 105  87 104  0.106877    992/1000	 NonOverlappingTemplate
 94  96  97  96 109 107  92 110  95 104  0.903338    992/1000	 NonOverlappingTemplate
 98 106 102  78  88  95 115 118  98 102  0.184549    991/1000	 NonOverlappingTemplate
 93 112 121  93 113  76 118  78 103  93  0.006332    990/1000	 NonOverlappingTemplate
 85  86 105  90 116 107 100 108 115  88  0.169981    993/1000	 NonOverlappingTemplate
 99 100  89 102  95  94 111 108  99 103  0.922855    994/1000	 NonOverlappingTemplate
106 104  85 102 109 109  94 102 105  84  0.570792    992/1000	 NonOverlappingTemplate
119  89  96 110  83  93  90 114  94 112  0.118120    995/1000	 NonOverlappingTemplate
