# SOPH Battery Test Log
# Suite:     nist
# Seed:      ffff
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex ffff --bytes 0
# Date:      2026-03-22 10:45:32
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 90 116 105  93 108 105 109  97  99  78  0.279844    993/1000	 Frequency
102 105  92 115  89 103  91 100 100 103  0.800005    990/1000	 BlockFrequency
 91 110 104  99  97 100 106 103 108  82  0.699313    994/1000	 CumulativeSums
 93  95 111 108 100  94  91 103 105 100  0.904708    993/1000	 CumulativeSums
100 101  89  98  94 115  80 113 106 104  0.344048    990/1000	 Runs
100  97 111 110  89 108  92  97  92 104  0.771469    991/1000	 LongestRun
110  95  98  94  99  92  94 113 102 103  0.877083    995/1000	 Rank
120 110 121  93  83  98 115  80 100  80  0.006019    990/1000	 DFT
102 109  95  89  89 103  95 117 100 101  0.662091    990/1000	 NonOverlappingTemplate
103  93  89 101 104  96 122 102  99  91  0.552383    991/1000	 NonOverlappingTemplate
 75  84 101 100 117 101  97 104 124  97  0.037320    997/1000	 NonOverlappingTemplate
 97 101  99  95 105  99  95 109 101  99  0.995373    987/1000	 NonOverlappingTemplate
109  88  86 116 102  89 101 112 104  93  0.340858    990/1000	 NonOverlappingTemplate
 99 100  99  79 110 100 115 106 108  84  0.259616    993/1000	 NonOverlappingTemplate
103 103 101  87  90 101 112  91 103 109  0.735908    992/1000	 NonOverlappingTemplate
 94 111  93  87 100 104  91 109 112  99  0.639202    992/1000	 NonOverlappingTemplate
120  94  92 100  85  95 116  95 115  88  0.122325    992/1000	 NonOverlappingTemplate
 94  95 108  97  92 120  97  96 107  94  0.628790    987/1000	 NonOverlappingTemplate
 84 101  99 112  96 114  94  88 112 100  0.402962    992/1000	 NonOverlappingTemplate
 89 114 115  88  95 126 105  85  81 102  0.017789    991/1000	 NonOverlappingTemplate
114  94  95  90 118 104 109  89  95  92  0.360287    992/1000	 NonOverlappingTemplate
 94  96 110 100 100 102 107  93 104  94  0.961869    993/1000	 NonOverlappingTemplate
101 100  96 100  92  91 110 103  98 109  0.937919    991/1000	 NonOverlappingTemplate
 96  97 123  94 109 103  95 105  97  81  0.275709    991/1000	 NonOverlappingTemplate
114  91  99 104  99  96 115 103  78 101  0.326749    987/1000	 NonOverlappingTemplate
 94 109  99 106 100  84 113  95 103  97  0.717714    992/1000	 NonOverlappingTemplate
103 124 106  91  89 123  88 100  85  91  0.034942    988/1000	 NonOverlappingTemplate
 99  97 101  90  83 109 107 112  96 106  0.610070    992/1000	 NonOverlappingTemplate
 96  98 108 105 108  92  85 100 100 108  0.811080    993/1000	 NonOverlappingTemplate
