# SOPH Battery Test Log
# Suite:     nist
# Seed:      02
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 02 --bytes 0
# Date:      2026-03-22 22:54:50
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
106 100  95 119  95  84 105 101 107  88  0.417219    988/1000	 Frequency
 96  89 119 101 106 100 102 100  96  91  0.703417    993/1000	 BlockFrequency
111  99 100  95 102 110  82  91 112  98  0.530120    987/1000	 CumulativeSums
108  87 104 109 108 106  78  89 110 101  0.251837    988/1000	 CumulativeSums
 99 112 101  97 103  84 111  97  93 103  0.731886    992/1000	 Runs
 99 103 102  88 103 115  91  86 105 108  0.576961    993/1000	 LongestRun
106 102  99 110  94 106  97  83  96 107  0.763677    994/1000	 Rank
110 106  98  91  91 108 110  92  84 110  0.450297    986/1000	 DFT
113 106 110  90  98  88  89 110  91 105  0.455937    992/1000	 NonOverlappingTemplate
108  75  94 105  94 109 100  97 125  93  0.078086    987/1000	 NonOverlappingTemplate
 94 103  93 117 107  99  94  91 102 100  0.784927    992/1000	 NonOverlappingTemplate
102 124 102  97  98  87 101  82 102 105  0.262249    989/1000	 NonOverlappingTemplate
109 114 105 102 103  98  94  86  79 110  0.281232    990/1000	 NonOverlappingTemplate
 99  88 107 102  99 100 107  97  88 113  0.769527    990/1000	 NonOverlappingTemplate
 92  93  98 104 120 101  87 105  94 106  0.534146    994/1000	 NonOverlappingTemplate
 91  94  96 100 111 102 110  91  98 107  0.841226    992/1000	 NonOverlappingTemplate
101 119 113 105  92 107  91  79  99  94  0.197981    993/1000	 NonOverlappingTemplate
 99  79 105 108 100 108 103  99 104  95  0.693142    993/1000	 NonOverlappingTemplate
115  93  90 114  92  88 109 111 106  82  0.145326    992/1000	 NonOverlappingTemplate
113 110  96 103  88  98 110  84  84 114  0.186566    989/1000	 NonOverlappingTemplate
 95  99  94  99  92 113 107 103  97 101  0.933472    993/1000	 NonOverlappingTemplate
107 106  96 107 100 104  99  91  94  96  0.964295    982/1000	 NonOverlappingTemplate
102 110 100 113  85  92 102  98  98 100  0.765632    989/1000	 NonOverlappingTemplate
 81 103 109 104  94 113 100  89 107 100  0.492436    990/1000	 NonOverlappingTemplate
101 113  97 109 102  99  96  93 103  87  0.827279    992/1000	 NonOverlappingTemplate
 91  98 104  91  99 104  96 103  98 116  0.848027    987/1000	 NonOverlappingTemplate
106  92 103  95 107 102  95 110  87 103  0.842937    983/1000	 NonOverlappingTemplate
 93  94  91 113 108 110 111  94  98  88  0.530120    995/1000	 NonOverlappingTemplate
105  95 104  97 102 106  91  99 102  99  0.991147    991/1000	 NonOverlappingTemplate
 95 104  91 120  99 110 103  93 102  83  0.371941    988/1000	 NonOverlappingTemplate
 93  88 107  85  97 117  92 124 105  92  0.092597    989/1000	 NonOverlappingTemplate
 88  89 127 101 106  86  85 102 107 109  0.069863    988/1000	 NonOverlappingTemplate
 87 105 108  97 118  98 102  94  92  99  0.637119    991/1000	 NonOverlappingTemplate
114 100  95 113  96  82 109 116  90  85  0.125200    979/1000 *	 NonOverlappingTemplate
102  97  94 110  92 105 124  91  91  94  0.340858    990/1000	 NonOverlappingTemplate
105  85 106  96  94 121 106  88  99 100  0.383827    992/1000	 NonOverlappingTemplate
 92 108 110 107 103  96  97  97  98  92  0.919131    991/1000	 NonOverlappingTemplate
106 105 105  85  89  90  89 108 123 100  0.188601    991/1000	 NonOverlappingTemplate
108  87 106 110  86 114 100  90 102  97  0.461612    984/1000	 NonOverlappingTemplate
 97  99 112 112  96  96 107  96  94  91  0.823725    993/1000	 NonOverlappingTemplate
 97  95 113 110 103  92 102  83  95 110  0.540204    990/1000	 NonOverlappingTemplate
112 100  98 101 105  95  89  93 106 101  0.907419    987/1000	 NonOverlappingTemplate
 90  92  93 104 106 112  99 111  86 107  0.558502    987/1000	 NonOverlappingTemplate
106 101  98  85 100  90 115 105 103  97  0.705466    987/1000	 NonOverlappingTemplate
 98  99 108  88  99  94 103 104  97 110  0.921624    989/1000	 NonOverlappingTemplate
 85 111 107  98 100 107 116  92  85  99  0.355364    988/1000	 NonOverlappingTemplate
 86  97 104  88 114 110 106  92 115  88  0.255705    993/1000	 NonOverlappingTemplate
 91  88 104 115 100  99  93 102 110  98  0.715679    988/1000	 NonOverlappingTemplate
 81  95 102 111  97 113 101 114  89  97  0.337688    992/1000	 NonOverlappingTemplate
 90 108 114 107 109  91  85  92 104 100  0.459717    988/1000	 NonOverlappingTemplate
 97  86  74 114 123 106 109  90  97 104  0.029996    991/1000	 NonOverlappingTemplate
