# SOPH Battery Test Log
# Suite:     nist
# Seed:      cafebabe
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex cafebabe --bytes 0
# Date:      2026-03-22 22:57:43
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 92  97  94 106  85  85 135 111 101  94  0.019320    987/1000	 Frequency
 99 115  94  84  90 123  91 102 109  93  0.136499    986/1000	 BlockFrequency
 83 109 115  87  88  98 102 107 105 106  0.329850    983/1000	 CumulativeSums
 92  97 105  97  93  99 100 119  99  99  0.816537    986/1000	 CumulativeSums
 99 112 103  93 106  88  88 106 101 104  0.759756    993/1000	 Runs
 99 112 109 102 102  95  78 119  88  96  0.179584    986/1000	 LongestRun
 90 103  91 102 110  84  99 113  94 114  0.390721    993/1000	 Rank
114 112 116 104  94  87 101  89  97  86  0.246750    991/1000	 DFT
114 104 102  86 100  99 106 106  89  94  0.697257    983/1000	 NonOverlappingTemplate
 97 104 103 105 113  98 103  91  92  94  0.896345    989/1000	 NonOverlappingTemplate
 98 109 113  71 108  94 100  99 101 107  0.188601    992/1000	 NonOverlappingTemplate
 95  92  98  98  97 108 102 116  99  95  0.870856    984/1000	 NonOverlappingTemplate
 88 104 116 110 104  91 122  93  99  73  0.027313    994/1000	 NonOverlappingTemplate
 84  90 101 102 102 102 102  95 119 103  0.566688    993/1000	 NonOverlappingTemplate
 79 106 111 105 106  95 102 107  86 103  0.399442    994/1000	 NonOverlappingTemplate
 95 101 109 103  96  80 100 107  88 121  0.233162    988/1000	 NonOverlappingTemplate
 98  95 101  83  96 110 105 109 120  83  0.196920    991/1000	 NonOverlappingTemplate
 90  93 121 112 123  93  80  79 111  98  0.006710    990/1000	 NonOverlappingTemplate
 87 101  96  90 107  97 104 100 115 103  0.745908    991/1000	 NonOverlappingTemplate
 84  87 107  93  97  96 103 111 110 112  0.417219    993/1000	 NonOverlappingTemplate
109  91 106  93 104 101 106 109  81 100  0.593478    986/1000	 NonOverlappingTemplate
 92  98  98  98 109  91 107 110  94 103  0.889118    990/1000	 NonOverlappingTemplate
104  93  90  89 105  92  98 104 108 117  0.587274    991/1000	 NonOverlappingTemplate
 90  99 105  92 116  98  91  94 112 103  0.616305    993/1000	 NonOverlappingTemplate
107 110 116 100  86 107  95 100  85  94  0.404728    990/1000	 NonOverlappingTemplate
119  93 110  84  98  89 112 106  93  96  0.251837    990/1000	 NonOverlappingTemplate
 95  95  91  95  98  98 109  94 115 110  0.733899    994/1000	 NonOverlappingTemplate
100  94  92 111  87 112  94  98 107 105  0.691081    987/1000	 NonOverlappingTemplate
 92  92 110 104  92 113 100  95 102 100  0.829047    994/1000	 NonOverlappingTemplate
 95 102 119  89  97  90 113  94 109  92  0.375313    991/1000	 NonOverlappingTemplate
 94  88 100  89 124 102  95 112 103  93  0.270265    991/1000	 NonOverlappingTemplate
104  84 112 105  88  92 105  91 116 103  0.334538    984/1000	 NonOverlappingTemplate
 88  89 100 117 103  93 106  97 106 101  0.643366    991/1000	 NonOverlappingTemplate
109 111  97  99  81 112  97  87 102 105  0.415422    991/1000	 NonOverlappingTemplate
 88 106  97  90 107  94  99 109 107 103  0.821937    990/1000	 NonOverlappingTemplate
 96  89 105  98 104  92 103  91 104 118  0.662091    991/1000	 NonOverlappingTemplate
 95  94 103  96 110 106 110 101  83 102  0.723804    987/1000	 NonOverlappingTemplate
 82 108  99 106 110 104  94 114  96  87  0.385543    993/1000	 NonOverlappingTemplate
104  87 133  90  88  74 117  92  95 120  0.000490    994/1000	 NonOverlappingTemplate
 91 107 110 107  97 104  99 109  77  99  0.422638    988/1000	 NonOverlappingTemplate
105  96 103  99 102  99 102  99 108  87  0.966626    989/1000	 NonOverlappingTemplate
 91 114  93 114  93  92 109  99  93 102  0.564639    991/1000	 NonOverlappingTemplate
101 104 106  96 123  94  86 100  98  92  0.439122    983/1000	 NonOverlappingTemplate
 86  89 100 124  91  94 111 114 102  89  0.104993    989/1000	 NonOverlappingTemplate
 87 109 107  88 108  98 104 104  98  97  0.783019    991/1000	 NonOverlappingTemplate
104 103 118 108  88  83  98  91 102 105  0.383827    994/1000	 NonOverlappingTemplate
 87 102 117 101 118 106  77  94  97 101  0.123038    992/1000	 NonOverlappingTemplate
110  92  89  91  96 103 116  82 113 108  0.211064    992/1000	 NonOverlappingTemplate
 94  83  82 101 111  96 106 106 107 114  0.272977    988/1000	 NonOverlappingTemplate
 91 120  95  94 103  94 104 107 105  87  0.488534    990/1000	 NonOverlappingTemplate
102 106  87 106  94  84  98 110  98 115  0.465415    989/1000	 NonOverlappingTemplate
113  99  97 108  99 105  86 102  95  96  0.825505    993/1000	 NonOverlappingTemplate
 96 104  97 104  90 100  90  94  98 127  0.329850    991/1000	 NonOverlappingTemplate
 98  88  98  99 104 116  97  82 113 105  0.390721    990/1000	 NonOverlappingTemplate
 95  90  99 104 109  88 101 107 103 104  0.881662    988/1000	 NonOverlappingTemplate
 91  95 101  98 121 112 100  81 106  95  0.263572    992/1000	 NonOverlappingTemplate
100 111 100 100 103  91 106  92  91 106  0.892036    992/1000	 NonOverlappingTemplate
117 103  89 115  96 101  91 101  99  88  0.448424    989/1000	 NonOverlappingTemplate
104  97  83 102 106 102  93  98 108 107  0.812905    991/1000	 NonOverlappingTemplate
107 100  97 108 108 112  93  98  97  80  0.542228    988/1000	 NonOverlappingTemplate
 96 116 104 104 108 105  83  92  80 112  0.167184    991/1000	 NonOverlappingTemplate
 84 108 102 113 109  96  88  97  96 107  0.526105    987/1000	 NonOverlappingTemplate
103  94 100 105  79 102 102  96  97 122  0.328297    987/1000	 NonOverlappingTemplate
 86 110 105  99 104 106  88  95  97 110  0.686955    993/1000	 NonOverlappingTemplate
116  99  95  98 109 101 103  88  98  93  0.765632    984/1000	 NonOverlappingTemplate
