# SOPH Battery Test Log
# Suite:     nist
# Seed:      5555555555555555
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 5555555555555555 --bytes 0
# Date:      2026-03-22 22:59:04
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
105  94 101  99 110 111  98 102  98  82  0.719747    992/1000	 Frequency
100 106 110 109  98 117  88  90  95  87  0.394195    987/1000	 BlockFrequency
107  99 109  91  93 107 107  82 109  96  0.554420    994/1000	 CumulativeSums
105 102  92 115  90 110  99 110  87  90  0.448424    991/1000	 CumulativeSums
 87 108 104 109 101 105  88 107  90 101  0.689019    991/1000	 Runs
111  81  99 106 118 106  99  96  95  89  0.317565    987/1000	 LongestRun
107 102 122  93  83  91 104 122 106  70  0.004430    991/1000	 Rank
101 110 116 106  99  97  97  90  89  95  0.680755    990/1000	 DFT
115 103  97 102 106  89 102  98 101  87  0.757790    992/1000	 NonOverlappingTemplate
138 106  82  94  97  95  89  98  93 108  0.012128    981/1000	 NonOverlappingTemplate
 89  97  99 104  96 107  85  97 120 106  0.454053    994/1000	 NonOverlappingTemplate
118  96  95  88 120 100 106  82 103  92  0.144504    985/1000	 NonOverlappingTemplate
100 109 111  92  99  92 112  99  93  93  0.765632    994/1000	 NonOverlappingTemplate
100  98  81 116  95  88 102 101 112 107  0.360287    994/1000	 NonOverlappingTemplate
 89 118  90  93 103 109  94  91  96 117  0.271619    989/1000	 NonOverlappingTemplate
103 106 105  92 122  97  94  89 103  89  0.424453    988/1000	 NonOverlappingTemplate
 92 100 100 126  83 102 103 105  91  98  0.241741    987/1000	 NonOverlappingTemplate
 93 123 100 110  91  86  99  92 105 101  0.314544    985/1000	 NonOverlappingTemplate
 96 119  97  87  88 105  91 113  99 105  0.350485    997/1000	 NonOverlappingTemplate
 91  96 116  86 108 100 103  86 105 109  0.415422    992/1000	 NonOverlappingTemplate
 94  97  93 107  91 101 102 107 105 103  0.959347    987/1000	 NonOverlappingTemplate
 83 105  87  99 116 129  92 105  99  85  0.025535    993/1000	 NonOverlappingTemplate
102 108  96  90 104  95 108  97  82 118  0.395940    985/1000	 NonOverlappingTemplate
100 111 107 103 105 100  98  89  90  97  0.884671    984/1000	 NonOverlappingTemplate
 97 106  93  98  97  94 102 103  99 111  0.972382    992/1000	 NonOverlappingTemplate
113  92  93  99 114  90  94  93 109 103  0.581082    990/1000	 NonOverlappingTemplate
 88  84 104 102 119 108 104  82 103 106  0.196920    988/1000	 NonOverlappingTemplate
 90 103  85 108  75  92 115 113 103 116  0.041981    982/1000	 NonOverlappingTemplate
102 109 100 100  95  95 107 112  96  84  0.739918    990/1000	 NonOverlappingTemplate
103 100 108 110 106  87  96  95  97  98  0.889118    991/1000	 NonOverlappingTemplate
105 103  99 107 107  98  96 109  86  90  0.807412    993/1000	 NonOverlappingTemplate
 98 104 103  89  92 113  99 110 106  86  0.620465    983/1000	 NonOverlappingTemplate
 78 115 102 101 117  89  95 106 100  97  0.216713    994/1000	 NonOverlappingTemplate
108  94 110  99 104  89 108  93  95 100  0.854708    993/1000	 NonOverlappingTemplate
103  82 111  87  97  91 115 103  95 116  0.197981    991/1000	 NonOverlappingTemplate
 92  91  97  98 117 107 109 106 101  82  0.402962    992/1000	 NonOverlappingTemplate
 93  97 122  86  94 130  76  99 108  95  0.005358    989/1000	 NonOverlappingTemplate
112  86 101 120 112  96  90 104  73 106  0.037320    991/1000	 NonOverlappingTemplate
 89 127 102  90  97  94  97 116  87 101  0.110734    990/1000	 NonOverlappingTemplate
100  89  90 111  87  97 107 120  87 112  0.170922    987/1000	 NonOverlappingTemplate
 88 103  88 100  93 107 115 106 105  95  0.630872    997/1000	 NonOverlappingTemplate
122  83  84  81  95 101 104  96 114 120  0.015383    990/1000	 NonOverlappingTemplate
 95  79  94 109  99  97 113 106  94 114  0.326749    989/1000	 NonOverlappingTemplate
 95 102  97  96 104  93 113 104 103  93  0.934599    988/1000	 NonOverlappingTemplate
 95 101 108 106  88  90 108  95  92 117  0.522100    991/1000	 NonOverlappingTemplate
 96 105  86 105 109 102 104  77 126  90  0.053969    989/1000	 NonOverlappingTemplate
109  95 103 106  85  91 116  96  98 101  0.601766    993/1000	 NonOverlappingTemplate
116  85 106 107 104  87 111  98  91  95  0.365253    982/1000	 NonOverlappingTemplate
102 102  83  94 102 102 117  97 107  94  0.612147    988/1000	 NonOverlappingTemplate
 92 109  82 102 102 103 101 113  97  99  0.672470    986/1000	 NonOverlappingTemplate
104 109  99  85 104  94 107 100 102  96  0.880145    989/1000	 NonOverlappingTemplate
