# SOPH Battery Test Log
# Suite:     nist
# Seed:      aaaaaaaaaaaaaaaa
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex aaaaaaaaaaaaaaaa --bytes 0
# Date:      2026-03-22 23:00:28
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 92 115  90 104  82  92 107  95 113 110  0.251837    986/1000	 Frequency
 87 117  94 104 109 103  95  87 103 101  0.530120    994/1000	 BlockFrequency
 95 110 104  92 103  85 108  91 103 109  0.664168    992/1000	 CumulativeSums
 95 108  95  96 102 100  93  98 101 112  0.950247    984/1000	 CumulativeSums
 99  87  95 105 101 100  87 116 110 100  0.589341    988/1000	 Runs
102 104  98 102 113  91 104  95 113  78  0.373625    994/1000	 LongestRun
102 114  93  89  91  89 108 109  95 110  0.492436    989/1000	 Rank
 98 116 110 107  94  91  84  94 111  95  0.380407    993/1000	 DFT
105 109 111  93 103 100  89  99  89 102  0.805569    992/1000	 NonOverlappingTemplate
 99  84  95 108 101  91 106 108 114  94  0.574903    991/1000	 NonOverlappingTemplate
108  65 105 104 103 109 106 107  94  99  0.080027    992/1000	 NonOverlappingTemplate
112 105  83  84 109 117 100 114  80  96  0.049346    997/1000	 NonOverlappingTemplate
 81 118  98  94  91 110  94 110 101 103  0.310049    996/1000	 NonOverlappingTemplate
 78 105  92  90  99 100 107 100 107 122  0.183547    995/1000	 NonOverlappingTemplate
 93 105 102  98  88  98 115 108  94  99  0.783019    989/1000	 NonOverlappingTemplate
 96 101 107 101  98  99  92  97 101 108  0.989786    994/1000	 NonOverlappingTemplate
 99  93  90  96 105 103 107 111  89 107  0.798139    996/1000	 NonOverlappingTemplate
 88 111  97  95  92 102 106  92 118  99  0.542228    993/1000	 NonOverlappingTemplate
 93 117 115 103 100 103  86  99  93  91  0.429923    992/1000	 NonOverlappingTemplate
 83  99 104  95  80 112 101 103 110 113  0.240501    995/1000	 NonOverlappingTemplate
 87  98  95 113 112  89 108  79 114 105  0.138069    991/1000	 NonOverlappingTemplate
 99  99 103 100  94  89 114  99 102 101  0.930026    994/1000	 NonOverlappingTemplate
108 120 102 101 105  94  82  93 104  91  0.350485    994/1000	 NonOverlappingTemplate
101 114 113  84  96  95 102  86 109 100  0.397688    991/1000	 NonOverlappingTemplate
 96 106  88  94 100 106 103 119  88 100  0.552383    994/1000	 NonOverlappingTemplate
 85 106 102  95 125  77 100 113 103  94  0.055714    992/1000	 NonOverlappingTemplate
110  84 109  94 102 104  87 101 102 107  0.620465    992/1000	 NonOverlappingTemplate
108  92  89 106 107  92 105 124  94  83  0.152044    987/1000	 NonOverlappingTemplate
 99 109  90 100 105 113  87  90 103 104  0.668321    992/1000	 NonOverlappingTemplate
109  90 100 100 107  84  85 101 116 108  0.325206    983/1000	 NonOverlappingTemplate
104 105  91  97  93 123  86  96  97 108  0.355364    991/1000	 NonOverlappingTemplate
117  97 104 100 104 105  92  96  87  98  0.731886    979/1000 *	 NonOverlappingTemplate
 78 111 105  96  76 129 109  97 104  95  0.009071    993/1000	 NonOverlappingTemplate
100 108 105 108 103  95  92 101  99  89  0.927677    982/1000	 NonOverlappingTemplate
 86 105 104  95 113 117 102  90  99  89  0.395940    989/1000	 NonOverlappingTemplate
 86 132  95 105 102  97 100 103  97  83  0.068999    988/1000	 NonOverlappingTemplate
111 112 103  98  97  90  97  91 100 101  0.853049    988/1000	 NonOverlappingTemplate
109 101 109  98  94  78  87 114 107 103  0.268917    990/1000	 NonOverlappingTemplate
 96 104  99  97  93 101 103 100 107 100  0.997147    988/1000	 NonOverlappingTemplate
 91  86 106 112 113  96 101  98  94 103  0.645448    992/1000	 NonOverlappingTemplate
 91 111 104  95 101  93 105  93 111  96  0.830808    993/1000	 NonOverlappingTemplate
 85  97  93  96 105 119  89 100 114 102  0.345650    993/1000	 NonOverlappingTemplate
101  95 109  96 103  97 100 103  93 103  0.990138    990/1000	 NonOverlappingTemplate
 97  99  93 121  96  96  99 101 100  98  0.800005    985/1000	 NonOverlappingTemplate
109  91 112  99 103 106  94 108  82  96  0.542228    987/1000	 NonOverlappingTemplate
 97  88 115 118  90 110  98  85  96 103  0.239266    987/1000	 NonOverlappingTemplate
115  88  97  95 104  97 105 115  95  89  0.510153    988/1000	 NonOverlappingTemplate
 94 104  89  98  92 116  96 117  94 100  0.496351    996/1000	 NonOverlappingTemplate
 92 100 100 109  89  99  89 105 122  95  0.417219    985/1000	 NonOverlappingTemplate
101 100 111  94 113  88 112  87 110  84  0.249284    991/1000	 NonOverlappingTemplate
 91 110 108 114 107  81  92 115  84  98  0.122325    991/1000	 NonOverlappingTemplate
 96  91  97 101 115  88 101  95 108 108  0.709558    992/1000	 NonOverlappingTemplate
 95  96  95 103 125  87  90 118  95  96  0.147815    992/1000	 NonOverlappingTemplate
101 121 103  91  94 101 104  96  98  91  0.651693    990/1000	 NonOverlappingTemplate
 89 100  99 104 108 103 115 105  79  98  0.431754    995/1000	 NonOverlappingTemplate
116  92 108 110  96  87  89  89 112 101  0.307077    988/1000	 NonOverlappingTemplate
113 110 101  99  93  99 102 112  95  76  0.296834    991/1000	 NonOverlappingTemplate
101 110 102 114  78 115  86 105  93  96  0.164425    988/1000	 NonOverlappingTemplate
102  96 110  86  94  96  98 118  90 110  0.440975    984/1000	 NonOverlappingTemplate
 93 128 117  97  85  84 103  98  84 111  0.017789    991/1000	 NonOverlappingTemplate
 95 110  89  88 105  93 108  90 108 114  0.448424    995/1000	 NonOverlappingTemplate
 94 103 108 106 102 101 114  97  86  89  0.666245    991/1000	 NonOverlappingTemplate
115 107 101 118  90 101  92  85  92  99  0.308561    989/1000	 NonOverlappingTemplate
 86  96  93 105 117 104 104 103  91 101  0.639202    992/1000	 NonOverlappingTemplate
 86  97  95 114  81 108 100 109 115  95  0.223648    990/1000	 NonOverlappingTemplate
100 116  95 102 101  93  94  98 109  92  0.816537    989/1000	 NonOverlappingTemplate
 99  90  97  95 116  98  94 107 101 103  0.842937    990/1000	 NonOverlappingTemplate
 88  93  99 108  97 104  91 123  85 112  0.180568    994/1000	 NonOverlappingTemplate
116  97 104  82  99  91 102 117  93  99  0.326749    987/1000	 NonOverlappingTemplate
109  92 100 101  86 106 101 100 101 104  0.914025    986/1000	 NonOverlappingTemplate
 88 102 113 123 117  89 102  90  97  79  0.034031    992/1000	 NonOverlappingTemplate
107  74 120 117 104  96  97  84 114  87  0.013760    992/1000	 NonOverlappingTemplate
113 103  92  92 103 104 116  95  98  84  0.463512    988/1000	 NonOverlappingTemplate
 98  80  98 110 107 104  99  98 106 100  0.725829    989/1000	 NonOverlappingTemplate
 95 118 117 100  88 102  92  95  99  94  0.426272    987/1000	 NonOverlappingTemplate
106 108  99  93  94  81 101 122  96 100  0.313041    990/1000	 NonOverlappingTemplate
 99  77 102 110 109  98 110  98 107  90  0.373625    989/1000	 NonOverlappingTemplate
111 104  95  98  94 112  85  89 101 111  0.520102    991/1000	 NonOverlappingTemplate
 91  95  99 102  81 104 113  88 113 114  0.233162    994/1000	 NonOverlappingTemplate
100 102 104  92 101 101  85 100 100 115  0.801865    987/1000	 NonOverlappingTemplate
100  86  93 123 124 109  91  83  97  94  0.030197    991/1000	 NonOverlappingTemplate
 97 100 106  90 113  98 108  93  98  97  0.880145    989/1000	 NonOverlappingTemplate
105 110 110  93 103  99  90  97  91 102  0.853049    992/1000	 NonOverlappingTemplate
104  88  98 135  93  93 108  87  95  99  0.041981    988/1000	 NonOverlappingTemplate
107  91 115 104  87  94  87 107 103 105  0.506194    991/1000	 NonOverlappingTemplate
104  90  90 113  85  91 102 120  99 106  0.254411    996/1000	 NonOverlappingTemplate
100  98 101 108 107 111  85  94  97  99  0.825505    987/1000	 NonOverlappingTemplate
109 109  87 114  96 110 103  94  74 104  0.129620    993/1000	 NonOverlappingTemplate
126  89 111 100  82  92 103  95 104  98  0.137282    978/1000 *	 NonOverlappingTemplate
100 104 112 100  98 102  90  77 104 113  0.365253    990/1000	 NonOverlappingTemplate
 92  99  97  97 113  90  94 116 104  98  0.674543    990/1000	 NonOverlappingTemplate
 99  82  99 108  97 114  98  86 108 109  0.401199    991/1000	 NonOverlappingTemplate
106 104 101 113  98  88 108  84 113  85  0.286836    987/1000	 NonOverlappingTemplate
109  94  99 100  94 105 105  97 106  91  0.951205    993/1000	 NonOverlappingTemplate
 94  96 101 109 100 110 111 104  85  90  0.641284    994/1000	 NonOverlappingTemplate
112  96  98 112 105 112  94  89  89  93  0.530120    991/1000	 NonOverlappingTemplate
113 102 104  92 104  98 109  95  86  97  0.755819    986/1000	 NonOverlappingTemplate
115  90 111 121  91  97  89  96 101  89  0.193767    988/1000	 NonOverlappingTemplate
117 107  97  97 105  85 104  90  95 103  0.579021    992/1000	 NonOverlappingTemplate
112  97  97  86  99 108  99 102 103  97  0.878618    987/1000	 NonOverlappingTemplate
101  97  98 100  95  84 116 108 108  93  0.607993    990/1000	 NonOverlappingTemplate
 96  87 116 107 115  94 110  92  94  89  0.295391    987/1000	 NonOverlappingTemplate
 99  95  90 102 105  98 102 112 100  97  0.957612    991/1000	 NonOverlappingTemplate
103 106 105 101  96  96  83 103 114  93  0.693142    988/1000	 NonOverlappingTemplate
 91 103  94 106  90  91 112 107 115  91  0.492436    994/1000	 NonOverlappingTemplate
107  88 110  98 103  91  86 101 108 108  0.624627    990/1000	 NonOverlappingTemplate
106  85 104 109  84 108  89  96  99 120  0.204439    987/1000	 NonOverlappingTemplate
 94  94 100 113 108 112  96  91  95  97  0.759756    995/1000	 NonOverlappingTemplate
110  93  99  91 108 109  97  94 116  83  0.378705    990/1000	 NonOverlappingTemplate
 93 111 103  87 113 109  98  90 103  93  0.574903    990/1000	 NonOverlappingTemplate
 95 101 106  79  93 105 122  99 102  98  0.296834    993/1000	 NonOverlappingTemplate
101  82 104  98 108 102  98  95 120  92  0.431754    989/1000	 NonOverlappingTemplate
 99 105 100 100 100  92 105  82 102 115  0.670396    994/1000	 NonOverlappingTemplate
 89  98 104 104 101 109  89  97 122  87  0.332970    994/1000	 NonOverlappingTemplate
113 105  93 106 112  99  91 101  83  97  0.530120    989/1000	 NonOverlappingTemplate
100  96  83  84 107  99 111 104 107 109  0.457825    990/1000	 NonOverlappingTemplate
 95  96  93  97 100 110 100 102  87 120  0.562591    990/1000	 NonOverlappingTemplate
100 110  95 101 104  94 101 106  96  93  0.971699    994/1000	 NonOverlappingTemplate
 96 112 101 106  98  94 105  87  95 106  0.841226    989/1000	 NonOverlappingTemplate
108 107 101  85  95  92 114  93  95 110  0.536163    994/1000	 NonOverlappingTemplate
 96 105 111  88 119 106  87 100  89  99  0.355364    991/1000	 NonOverlappingTemplate
110 106  99  91 105  92 107  94 102  94  0.889118    990/1000	 NonOverlappingTemplate
106  94  97 103  93 106 107  97 104  93  0.965083    986/1000	 NonOverlappingTemplate
113  97  93  93  94  97 115  94 107  97  0.699313    985/1000	 NonOverlappingTemplate
 97 106  96 105  98 105 111  79 100 103  0.651693    983/1000	 NonOverlappingTemplate
115 110 107  86  91  96 103  95  94 103  0.589341    987/1000	 NonOverlappingTemplate
102 106  78  92 104  99  96  94 126 103  0.144504    986/1000	 NonOverlappingTemplate
 95 101 117  97  97 101  97 106 106  83  0.632955    988/1000	 NonOverlappingTemplate
104 108 100 104 102  95 103  96  90  98  0.979788    987/1000	 NonOverlappingTemplate
 94  98  86  93  96 104 111 107 118  93  0.474986    991/1000	 NonOverlappingTemplate
116 116  95 115 109  76  92  95  95  91  0.064015    988/1000	 NonOverlappingTemplate
 96  97  91  96 107 116 100 109 104  84  0.554420    995/1000	 NonOverlappingTemplate
 88  88 107  96 111  90 109 105 100 106  0.620465    989/1000	 NonOverlappingTemplate
 99 111 104  89  97 103  89 111 115  82  0.298282    993/1000	 NonOverlappingTemplate
110  90  88 106 100 102 100 106 104  94  0.858002    984/1000	 NonOverlappingTemplate
 99 110 100  89 105  96 102 109  91  99  0.890582    991/1000	 NonOverlappingTemplate
107  98 100 118 104 103 102  89  88  91  0.583145    984/1000	 NonOverlappingTemplate
 99 121  91  97  87 101 108 108  89  99  0.390721    984/1000	 NonOverlappingTemplate
 85 109  94 124 104 103 100  93 101  87  0.235589    992/1000	 NonOverlappingTemplate
 95  87 103 102 103 110  99 105  94 102  0.922855    997/1000	 NonOverlappingTemplate
 96 109 100  94 118  96  95  85 108  99  0.546283    988/1000	 NonOverlappingTemplate
111  90  98 101 100  97  96  95 105 107  0.941144    993/1000	 NonOverlappingTemplate
126  99 105  95  87  96  92  99 100 101  0.368587    979/1000 *	 NonOverlappingTemplate
 80 115 103  99  91  88  95 101 110 118  0.158133    990/1000	 NonOverlappingTemplate
 95  99 121  99 104  85  88  98 106 105  0.420827    986/1000	 NonOverlappingTemplate
 98  75 123  89  88 106 113 108  95 105  0.042531    987/1000	 NonOverlappingTemplate
106 115 103  98  92  94 102 101  90  99  0.851383    991/1000	 NonOverlappingTemplate
 90 102 107 100  97  92 105 106  96 105  0.952152    995/1000	 NonOverlappingTemplate
104 101  95 107 107 111  94 114  79  88  0.291091    983/1000	 NonOverlappingTemplate
 96 100  88 106 101 107  78 116  85 123  0.042808    987/1000	 NonOverlappingTemplate
 82 116  93 125  89  96  95 109 102  93  0.078086    990/1000	 NonOverlappingTemplate
103  96  98  96 109 106 105  91 102  94  0.961039    991/1000	 NonOverlappingTemplate
107 102 118  99 109  89 106  89  96  85  0.368587    989/1000	 NonOverlappingTemplate
 95  97  87 109 119  87  85 114  95 112  0.120909    993/1000	 NonOverlappingTemplate
110  91 106 101  93 107  95 109  88 100  0.773405    985/1000	 NonOverlappingTemplate
 97 100 106  90 113  98 108  93  98  97  0.880145    989/1000	 NonOverlappingTemplate
101  91  90 101  97 110 101 110 101  98  0.912724    987/1000	 OverlappingTemplate
111  98 100  98  90 107  87 110 105  94  0.731886    982/1000	 Universal
119  83  95 104  95 109  91 103  98 103  0.437274    987/1000	 ApproximateEntropy
 71  53  74  65  55  67  57  66  57  48  0.308563    601/613 	 RandomExcursions
 53  64  66  77  53  53  59  56  73  59  0.294259    608/613 	 RandomExcursions
 69  64  57  61  59  50  70  51  73  59  0.451854    606/613 	 RandomExcursions
 69  61  62  66  63  55  66  61  51  59  0.897024    604/613 	 RandomExcursions
 83  63  66  50  54  53  68  52  64  60  0.107031    604/613 	 RandomExcursions
