# SOPH Battery Test Log
# Suite:     nist
# Seed:      0123456789abcdef
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 0123456789abcdef --bytes 0
# Date:      2026-03-22 23:01:51
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 92  98 100  91  88 112  91 104 112 112  0.512137    991/1000	 Frequency
 88 113  86 101  92 100 100  93 106 121  0.275709    994/1000	 BlockFrequency
 86 112  93  98  86 109  92 100 119 105  0.262249    990/1000	 CumulativeSums
 87  94 101  97  91  90 111 110 115 104  0.476911    992/1000	 CumulativeSums
 97 107 104 106  96  93  86 108 108  95  0.812905    987/1000	 Runs
 92 116 101 110 114  93  99  92  93  90  0.455937    991/1000	 LongestRun
 86 104 125  88  94 101 101 104  99  98  0.319084    988/1000	 Rank
104  99 112  89  91 106 107  91 105  96  0.769527    986/1000	 DFT
101  96  94  98  99 111  92 108 103  98  0.955835    987/1000	 NonOverlappingTemplate
127  91  82 100  99  92  90 102  99 118  0.061260    985/1000	 NonOverlappingTemplate
 98  94 101 108  92  98 105  96 104 104  0.981940    991/1000	 NonOverlappingTemplate
114 117 101  96  93  99  85  98 102  95  0.524101    993/1000	 NonOverlappingTemplate
 90  93 123  93 118  92  88  97 106 100  0.160805    992/1000	 NonOverlappingTemplate
 99 124 100 103  88 107  96  86 103  94  0.322135    991/1000	 NonOverlappingTemplate
106 112 106 103 107  94  89 101  78 104  0.408275    991/1000	 NonOverlappingTemplate
 92  98 105 111  97  81 117  92 111  96  0.293952    994/1000	 NonOverlappingTemplate
 96  99 103 111 104  97 107  92  97  94  0.951205    997/1000	 NonOverlappingTemplate
 97  96 104  88  90 115 103 107  88 112  0.478839    991/1000	 NonOverlappingTemplate
108  91  97 102 102 101 103 102  89 105  0.954930    993/1000	 NonOverlappingTemplate
121 101 102  96  95  95 104  88  88 110  0.422638    988/1000	 NonOverlappingTemplate
101  89 111  92 117  95  95 106 100  94  0.618385    995/1000	 NonOverlappingTemplate
 91  92 115 106  91 107 114 104  85  95  0.352107    989/1000	 NonOverlappingTemplate
108  82 101 122 105  91 103  96  92 100  0.298282    989/1000	 NonOverlappingTemplate
 96  97  95 100  90 112 117  96  85 112  0.377007    992/1000	 NonOverlappingTemplate
 91  95 114  81 100  99 103 115 101 101  0.437274    989/1000	 NonOverlappingTemplate
 90  94 104 119  89  87  90 110 103 114  0.208837    988/1000	 NonOverlappingTemplate
