# SOPH Battery Test Log
# Suite:     nist
# Seed:      abababababababab
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex abababababababab --bytes 0
# Date:      2026-03-22 23:03:15
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
107  94 112  89 103  94 112  95  98  96  0.755819    987/1000	 Frequency
101 100 100 104  82 102 112 107 103  89  0.670396    990/1000	 BlockFrequency
110  97 102 104  87  95  91 105 101 108  0.839507    986/1000	 CumulativeSums
111  93 104 106  94 102  94  89 103 104  0.880145    991/1000	 CumulativeSums
 91  94 111  99 116 121  80  85  98 105  0.068999    989/1000	 Runs
102  88  90 104  91 107 105 113  95 105  0.701366    985/1000	 LongestRun
 91 109  96  92 108  86 104 101 100 113  0.649612    991/1000	 Rank
116 108 104  86  83 108  96  97 107  95  0.363593    986/1000	 DFT
 99  91 113  85  96 100 109  95  96 116  0.465415    987/1000	 NonOverlappingTemplate
 94  80  95 103  97  92 105 105 122 107  0.258307    993/1000	 NonOverlappingTemplate
110 114  80  97 104 104 102  89 102  98  0.465415    990/1000	 NonOverlappingTemplate
 91  91 104  84 128  68 108 110 119  97  0.001046    993/1000	 NonOverlappingTemplate
109  89  83 117  94  96 111 118  94  89  0.110734    985/1000	 NonOverlappingTemplate
108  89 100 103  82 102 101 103 108 104  0.727851    994/1000	 NonOverlappingTemplate
 85 124  93  94 104  98  98 103  96 105  0.383827    988/1000	 NonOverlappingTemplate
109 117  83  99  90  94  96 102  94 116  0.270265    993/1000	 NonOverlappingTemplate
 95 101  90 102  81  85 109  92 122 123  0.027497    983/1000	 NonOverlappingTemplate
106  97  98 107  90  89  93  96  98 126  0.301194    989/1000	 NonOverlappingTemplate
 98 118 105  95  77 112 100  94 100 101  0.284024    981/1000	 NonOverlappingTemplate
 91  94  88 106 105 113  87 112 104 100  0.514124    992/1000	 NonOverlappingTemplate
 94 104 105  96  98 103 102 112  86 100  0.875539    989/1000	 NonOverlappingTemplate
